code_new,name_el,code_old_ei,code_old_taep,valid_for_ae,registration_fee_eur,fee_status,note_el,tariff_applies,registration_deposit_eur,fee_source,previous_registration_fee_eur,monada_table_taep_fee,fee_conflict
600,ΕΠΙ ΠΛΗΡΩΜΗ,4,4,TRUE,0.00,SET,,TRUE,100.00,Μονάδα Ελέγχου Εσόδων 22/09/2026,100.00,100,FALSE
601,ΥΠΟΔΙΚΟΙ/ΦΥΛΑΚΙΣΜΕΝΟΙ,62,62,TRUE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
602,ΕΥΡΩΚΑΡΤΑ,114,114,TRUE,0.00,SET,,TRUE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
603,ΔΙΚΑΙΟΥΧΟΣ Α,1,119,TRUE,0.00,SET,"Δωρεάν ιατροφαρμακευτική περίθαλψη, πληρώνει όλα τα τέλη εγγραφης",FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,10.00,10,TRUE
604,ΔΙΚΑΙΟΥΧΟΣ Α - ΜΟΝΟ ΤΑΕΠ,60,,TRUE,0.00,SET,"Δωρεάν ιατροφαρμακευτική περίθαλψη, εξαιρείται από τα τέλη εγγραφή μόνο για τα ΤΑΕΠ",FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
605,ΔΙΚΑΙΟΥΧΟΣ Α - ΜΟΝΟ ΑΝΑΛΥ,64,,TRUE,0.00,SET,"Δωρεάν ιατροφαρμακευτική περίθαλψη, εξαιρειται από τα τέλη εγγραφής για αναλύσεις",FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,10.00,10,TRUE
606,ΔΙΚΑΙΟΥΧΟΣ Α - ΜΟΝΟ ΤΑΕΠ & ΑΝΑΛΥ,60,,TRUE,0.00,SET,"Δωρεάν ιατροφαρμακευτική περίθαλψη, εξαιρειται από τα τέλη εγγραφής για τα ΤΑΕΠ και αναλύσεις",FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
607,ΔΙΚΑΙΟΥΧΟΣ Α - ΜΟΝΟ ΤΑΕΠ & ΦΑΡΜ,60,,TRUE,0.00,SET,"Δωρεάν ιατροφαρμακευτική περίθαλψη, εξαιρειται από τα τέλη εγγραφής για τα ΤΑΕΠ και φαρμάκων",FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
608,ΔΙΚΑΙΟΥΧΟΣ Α - ΜΟΝΟ ΦΑΡΜ & ΑΝΑΛΥ,60,,TRUE,0.00,SET,"Δωρεάν ιατροφαρμακευτική περίθαλψη, εξαιρειται από τα τέλη εγγραφής για αναλύσεις και φαρμάκων",FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,10.00,10,TRUE
609,ΔΙΚΑΙΟΥΧΟΣ Α-ΟΛΑ ΔΩΡΕΑΝ,109,109,TRUE,0.00,SET,"Δωρεάν ιατροφαρμακευτική περίθαλψη, εξαιρειται από όλα τα τέλη εγγραφής",FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
610,ΚΙ ΤΝ - 6.7 ΗΠΑΤΙΤΙΔΑ Β&Γ ,96,,FALSE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,Δεν εφαρμοζεται,FALSE
611,ΚΙ ΤΝ - 6.9 ΨΥΧΟΤΡΟΠΑ ΦΑΡΜΑΚΑ,98,,FALSE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,Δεν εφαρμοζεται,FALSE
612,ΚΙ ΤΝ - 6.12 ΠΑΙΔΟΨΥΧ ΦΑΡΜΑΚΑ,148,,FALSE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,Δεν εφαρμοζεται,FALSE
620,ΕΓΚΥΟΙ (&ΠΑΡΑΝΟΜΟΙ),109,109,TRUE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
621,ΑΝΗΛΙΚΟΙ (&ΠΑΡΑΝΟΜΟΙ),109,109,TRUE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
622,ΚΑΛΥΠΤΙΚΗ ΒΕΒΑΙΩΣΗ ΥΥ,155,155,TRUE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
623,ΕΛΔΥΚ(& ΕΞΑΡΤΩΜΕΝΑ),122,122,TRUE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
624,ΑΙΤΗΤΕΣ ΑΣΥΛΟΥ/ΔΟΜΕΣ,119,109,TRUE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
625,ΟΥΚΡΑΝΟΙ ΠΡΟΣΦΥΓΕΣ,162,162,TRUE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
626,ΔΗΜΟΣΙΑ ΥΓΕΙΑ - ΦΥΜΑΤΙΩΣΗ,101,,TRUE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
627,ΔΗΜΟΣΙΑ ΥΓΕΙΑ - HIV,73,,TRUE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
628,ΚεΠΥ - ΠΟΥΡΝΑΡΑ,119,,TRUE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
